
2024/05/18 (17:19:50) | ===> btop++ v.1.2.13
2024/05/18 (17:19:50) | WARNING: Invalid graph name in config value presets!

2024/05/18 (18:02:26) | ===> btop++ v.1.2.13
2024/05/18 (18:02:26) | WARNING: Invalid graph name in config value presets!

2024/06/19 (07:12:56) | ===> btop++ v.1.3.0
2024/06/19 (07:12:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (10:27:47) | ===> btop++ v.1.3.0
2024/06/19 (10:27:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (18:16:26) | ===> btop++ v.1.3.0
2024/06/20 (18:16:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:38) | ===> btop++ v.1.3.0
2024/08/21 (13:05:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:40) | ===> btop++ v.1.3.0
2024/08/21 (13:05:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:41) | ===> btop++ v.1.3.0
2024/08/21 (13:05:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:43) | ===> btop++ v.1.3.0
2024/08/21 (13:05:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:43) | ===> btop++ v.1.3.0
2024/08/21 (13:05:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:44) | ===> btop++ v.1.3.0
2024/08/21 (13:05:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:44) | ===> btop++ v.1.3.0
2024/08/21 (13:05:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:45) | ===> btop++ v.1.3.0
2024/08/21 (13:05:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:05:46) | ===> btop++ v.1.3.0
2024/08/21 (13:05:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:06:02) | ===> btop++ v.1.3.0
2024/08/21 (13:06:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:06:03) | ===> btop++ v.1.3.0
2024/08/21 (13:06:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:06:03) | ===> btop++ v.1.3.0
2024/08/21 (13:06:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:06:04) | ===> btop++ v.1.3.0
2024/08/21 (13:06:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:06:04) | ===> btop++ v.1.3.0
2024/08/21 (13:06:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:07:16) | ===> btop++ v.1.3.0
2024/08/21 (13:07:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:10:42) | ===> btop++ v.1.3.0
2024/08/21 (13:10:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/21 (13:14:26) | ===> btop++ v.1.3.0
2024/08/21 (13:14:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (09:50:10) | ===> btop++ v.1.3.0
2024/08/23 (09:50:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/26 (19:24:37) | ===> btop++ v.1.3.0
2024/08/26 (19:24:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
